variable_name,variable_type,variable_label,missing_values,non_missing_values
e11,"haven_labelled, vctrs_vctr, double",Does This Establishment Compete Against Unregistered Or Informal Firms?,13584,256609
e32,"haven_labelled, vctrs_vctr, double",Change in competition in the last year?,197377,72816
e32_br,"haven_labelled, vctrs_vctr, double",Change in competition in the last year?,265954,4239
e33,"haven_labelled, vctrs_vctr, double",Establishment can increase prices more than competitors without losing customers,197377,72816
e33_br,"haven_labelled, vctrs_vctr, double",Establishment can increase prices more than competitors without losing customers,265954,4239
e34,"haven_labelled, vctrs_vctr, double",SOEs operating in the establishment's main market?,215379,54814
e34_br,"haven_labelled, vctrs_vctr, double",SOEs operating in the establishment's main market?,265954,4239
e35,"haven_labelled, vctrs_vctr, double",How SOE affects ability to grow and expand?,268570,1623
e35_br,"haven_labelled, vctrs_vctr, double",How SOE affects ability to grow and expand?,269774,419
e30,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Practices Of Competitors In Informal Sector?,830,269363
f1,"haven_labelled, vctrs_vctr, double","In Last Fy, What Was The Capacity Utilization (%) Of This Establishment?",138267,131926
f2,"haven_labelled, vctrs_vctr, double",Number Of Hours Per Week Operated By The Establishment In Last Fiscal Year,167296,102897
g1a,"haven_labelled, vctrs_vctr, double",Percentage Of The Land Occupied: Owned By This Establishment,102537,167656
g1b,"haven_labelled, vctrs_vctr, double",Percentage Of The Land Occupied: Rented Or Leased By This Establishment,132010,138183
g1c,"haven_labelled, vctrs_vctr, double",Percentage Of The Land Occupied: Other,148071,122122
g2,"haven_labelled, vctrs_vctr, double",Applic. To Obtain A Construction-Related Permit Submitted Over The Last 2 Years,44,270149
g3,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Obtain A Construction-Related Permit?,232053,38140
g4,"haven_labelled, vctrs_vctr, double",Informal Gift/Payment Expected Or Requested For A Construction-Related Permit,232021,38172
g31,"haven_labelled, vctrs_vctr, double","In last 2 years, establishment applied for occupancy permit",215739,54454
g31_br,"haven_labelled, vctrs_vctr, double","In last 2 years, establishment applied for occupancy permit",265954,4239
g32,"haven_labelled, vctrs_vctr, double",Wait for occupancy permit,265519,4674
g32_br,"haven_labelled, vctrs_vctr, double",Wait for occupancy permit,269700,493
g33,"haven_labelled, vctrs_vctr, double",Cost of occupancy permit,265519,4674
g33_br,"haven_labelled, vctrs_vctr, double",Cost of occupancy permit,269700,493
g34,"haven_labelled, vctrs_vctr, double","Land disputes and the sale of property: Deeds, Title certificates etc recognized",252191,18002
g5,"haven_labelled, vctrs_vctr, double",Total Of Sale'S Surface,270187,6
g5a,"haven_labelled, vctrs_vctr, double",What Is The Total Selling Area In This Establishment?,223145,47048
g5b,"haven_labelled, vctrs_vctr, double",The Area Is Measured In:,232417,37776
g5bx,character,Specify Other Units (If Not Included Above) The Area Is Measured In,0,270193
g6a,"haven_labelled, vctrs_vctr, double",Percentage Of The Building Occupied: Owned By This Establishment,141425,128768
g6b,"haven_labelled, vctrs_vctr, double",Percentage Of The Building Occupied: Leased Or Rented By This Establishment,138334,131859
g6c,"haven_labelled, vctrs_vctr, double",Percentage Of The Building Occupied: Other,175307,94886
g7,"haven_labelled, vctrs_vctr, double",Acquired Additional Land Or Buildings To Expand Operations In The Last 3 Years?,259007,11186
g8,"haven_labelled, vctrs_vctr, double",Unsuccessful Attempts To Acquire Land,267470,2723
g8a,"haven_labelled, vctrs_vctr, double","In The Last 3 Years, Has This Est. Been Succes. In Acquiring Land ?",268208,1985
g30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Access To Land?,344,269849
g30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle Are Zoning Restrictions To The Operations Of This Firm?,261390,8803
h1,"haven_labelled, vctrs_vctr, double",New Products/Services Introduced Over Last 3 Yrs,51170,219023
h2,"haven_labelled, vctrs_vctr, double",New Products/Services Also New For Thr Establishment'S Main Market,206494,63699
h3x,character,Describe In Detail The Main New Or Significantly Improved Product Or Service,0,270193
h4x,character,Describe How The Main New/Significantly Improved Product Or Service Is Different,0,270193
h32x,character,Describe In Detail The Main New or Significantly Improved Product or Service,0,270193
h5,"haven_labelled, vctrs_vctr, double","During Last 3 Yrs, Establishment Introduced New/Significantly Improved Process",52178,218015
h6x,character,Describe Main New/Significantly Improved Process This Establishment Introduced,0,270193
h7x,character,How The Main New/Significantly Improved Process Is Different,0,270193
h62x,character,Describe Main New/Significantly Improved Process This Establishment Introduced,0,270193
h8,"haven_labelled, vctrs_vctr, double","During Last Fiscal Year, Establishment Spent On R&D (Excl Market Research)?",52177,218016
h30,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Courts,2630,267563
i1,"haven_labelled, vctrs_vctr, double","In Last Fy, Did This Establishment Pay For Security?",75570,194623
i2a,"haven_labelled, vctrs_vctr, double",Percentage Of Total Annual Sales Paid For Security In Last Fiscal Year,211250,58943
i2b,"haven_labelled, vctrs_vctr, double","In Last Fiscal Year, What Is The Total Annual Cost Of Security?",203744,66449
i3,"haven_labelled, vctrs_vctr, double","Losses Due To Theft, Robbery, Vandalism Or Arson Experienced In Last Fiscal Year",76045,194148
i4a,"haven_labelled, vctrs_vctr, double","Losses Due To Theft, Robbery, Vandalism Or Arson In Last Fiscal Yr (% Of Sales)",248123,22070
i4b,"haven_labelled, vctrs_vctr, double","Value Of Losses Due To Theft, Robbery, Vandalism Or Arson In Last Fiscal Yr",249733,20460
i30,"haven_labelled, vctrs_vctr, double","How Much Of An Obstacle: Crime, Theft And Disorder?",581,269612
ge3,numeric,Experience damage of physical assets due to extreme weather events?,196152,74041
ge3_br,"haven_labelled, vctrs_vctr, double",Experience damage of physical assets due to extreme weather events?,266881,3312
ge3a,numeric,Monetary damage of physical assets?,263499,6694
ge3a_br,"haven_labelled, vctrs_vctr, double",Monetary damage of physical assets?,270020,173
ge7,numeric,"Over the last 3 years, establishment monitor its CO2 emissions?",196152,74041
ge7_br,"haven_labelled, vctrs_vctr, double","Over the last 3 years, establishment monitor its CO2 emissions?",266881,3312
ge8,"haven_labelled, vctrs_vctr, double","Over last 3 years, establishment adopt energy management measures?",269833,360
ge8d,numeric,"Over last 3 years, establishment adopt energy management measures?",196512,73681
ge8d_br,"haven_labelled, vctrs_vctr, double","Over last 3 years, establishment adopt energy management measures?",266881,3312
h7a,"haven_labelled, vctrs_vctr, double","The Court System Is Fair, Impartial And Uncorrupted",73778,196415
h7b,"haven_labelled, vctrs_vctr, double",Agreement With: The Court System Is Quick,255770,14423
h7c,"haven_labelled, vctrs_vctr, double",Agreement With: The Court System Is Affordable,255771,14422
h7d,"haven_labelled, vctrs_vctr, double",Agreement With: The Court System Is Able To Enforce Its Decisions,255779,14414
j1,"haven_labelled, vctrs_vctr, double","The Court System Is Fair, Impartial And Uncorrupted.",269203,990
j1a,"haven_labelled, vctrs_vctr, double",Interpretation Of Laws,244161,26032
j2,"haven_labelled, vctrs_vctr, double",What % Of Senior Management Time Was Spent In Dealing With Govt Regulations?,77,270116
j3,"haven_labelled, vctrs_vctr, double","Over The Last 12 Months, Was This Establishment Inspected By Tax Officials?",51,270142
j3_br,"haven_labelled, vctrs_vctr, double","Follow-up: Over The Last 12 Months, Was This Establishment Inspected By Tax offi",268715,1478
j4,"haven_labelled, vctrs_vctr, double",Frequency Of Inspections/Requirement For Meeting By Tax Officials,140341,129852
j5,"haven_labelled, vctrs_vctr, double",In Any Of These Inspections Was A Gift/Informal Payment Requested ?,141058,129135
j32,"haven_labelled, vctrs_vctr, double",Did any of these visits or meetings consist of a tax audit?,243175,27018
j32_br,"haven_labelled, vctrs_vctr, double",Did any of these visits or meetings consist of a tax audit?,268957,1236
j33,"haven_labelled, vctrs_vctr, double",Weeks until final audit report was received,259594,10599
j33_br,"haven_labelled, vctrs_vctr, double",Weeks until final audit report was received,269811,382
j34,"haven_labelled, vctrs_vctr, double",Establishment outsourced some tax-related activities in the last FY,211437,58756
j34_br,"haven_labelled, vctrs_vctr, double",Establishment outsourced some tax-related activities in the last FY,268227,1966
j35a,"haven_labelled, vctrs_vctr, double",Total annual time spent on tax compliance (hours),256369,13824
j35a_br,"haven_labelled, vctrs_vctr, double",Total annual time spent on tax compliance (hours),269230,963
j35b,"haven_labelled, vctrs_vctr, double",Average monthly time spent on tax compliance (hours),257363,12830
j35b_br,"haven_labelled, vctrs_vctr, double",Average monthly time spent on tax compliance (hours),269271,922
j35,"haven_labelled, vctrs_vctr, double","Total Hours to Prepare, File and Pay Taxes",220252,49941
j36,"haven_labelled, vctrs_vctr, double","In last FY, did establishment file taxes electronically",193435,76758
j36_br,"haven_labelled, vctrs_vctr, double","In last FY, did establishment file taxes electronically",268227,1966
j37,"haven_labelled, vctrs_vctr, double","In last FY, did establishment pay taxes electronically",193435,76758
j37_br,"haven_labelled, vctrs_vctr, double","In last FY, did establishment pay taxes electronically",268227,1966
j38,"haven_labelled, vctrs_vctr, double","In the last 3 yrs., establishment has applied for a VAT refund",202652,67541
j38_br,"haven_labelled, vctrs_vctr, double","In the last 3 yrs., establishment has applied for a VAT refund",266811,3382
j39,"haven_labelled, vctrs_vctr, double",Weeks to receive VAT refund,253388,16805
j39_br,"haven_labelled, vctrs_vctr, double",Weeks to receive VAT refund,269859,334
j40,"haven_labelled, vctrs_vctr, double",Main reason for not applying for a VAT tax refund,231566,38627
j40_br,"haven_labelled, vctrs_vctr, double",Main reason for not applying for a VAT tax refund,268012,2181
j6,"haven_labelled, vctrs_vctr, double",% Of Contract Value Avg. Firm Pays In Informal Gifts To Govt To Secure Contract?,219052,51141
j6a,"haven_labelled, vctrs_vctr, double",Government Contract Secured (Or Attempted) In The Last 12 Months?,20458,249735
j6a_br,"haven_labelled, vctrs_vctr, double",Follow-up: Government Contract Secured (or Attempted) In The Last 12 Months?,268715,1478
j41,"haven_labelled, vctrs_vctr, double",Degree of difficulty to comply with govt contract tender requirements,255001,15192
j41_br,"haven_labelled, vctrs_vctr, double",Degree of difficulty to comply with govt contract tender requirements,269821,372
j42,"haven_labelled, vctrs_vctr, double",Establishment has held a govt contract in last 3 yrs?,197377,72816
j42_br,"haven_labelled, vctrs_vctr, double",Establishment has held a govt contract in last 3 yrs?,265954,4239
j43,"haven_labelled, vctrs_vctr, double",Typical number of days to receive payment under govt contract,258429,11764
j43_br,"haven_labelled, vctrs_vctr, double",Typical number of days to receive payment under govt contract,269689,504
j7a,"haven_labelled, vctrs_vctr, double",Percent Of Total Annual Sales Paid In Informal Payments,36763,233430
j7b,"haven_labelled, vctrs_vctr, double",Total Annual Informal Payment,226759,43434
j8,"haven_labelled, vctrs_vctr, double",Sales Tax,250290,19903
j10,"haven_labelled, vctrs_vctr, double",Application To Obtain An Import License Submitted Over The Last 2 Years?,650,269543
j11,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take To Obtain Your Import License?,239163,31030
j12,"haven_labelled, vctrs_vctr, double","When You Applied For An Import License, Was An Informal Gift/Payment Requested?",239143,31050
j13,"haven_labelled, vctrs_vctr, double",Application To Obtain An Operating License Submitted Over Last 2 Years?,514,269679
j14,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take To Obtain Your Operating License?,215616,54577
j15,"haven_labelled, vctrs_vctr, double",When You Applied For Operating License Was An Informal Gift/Payment Requested?,215651,54542
j30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Tax Rates,93,270100
j30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Tax Administrations,1019,269174
j30c,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Business Licensing And Permits,210,269983
j30d,"haven_labelled, vctrs_vctr, double",Degree Of Obstacle For The Current Operation: Macroeconomic Instability,255764,14429
j30e,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Political Instability,833,269360
j30f,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Corruption,79,270114
j30g,"haven_labelled, vctrs_vctr, double",Restrictions On Hours Of Operation,266350,3843
j30h,"haven_labelled, vctrs_vctr, double",Restrictions On Pricing & Mark-Ups,265933,4260
k1a,"haven_labelled, vctrs_vctr, double",Purchases Paid Before Delivery,221333,48860
k1b,"haven_labelled, vctrs_vctr, double",Purchases Paid On Delivery,221333,48860
k1c,"haven_labelled, vctrs_vctr, double","In Last Fy, % Of Material Inputs Or Services Paid For After Delivery",132222,137971
k1d,"haven_labelled, vctrs_vctr, double","In Last Fiscal Yr, Did You Pay For Any Material Inputs/Services After Delivery?",258859,11334
k1e,"haven_labelled, vctrs_vctr, double",% Material Inputs/Services Paid For After Delivery In Last Fiscal Year,248581,21612
k2a,"haven_labelled, vctrs_vctr, double",% Of Total Annual Sales Paid For Before The Delivery In Last Fiscal Year,209218,60975
k2b,"haven_labelled, vctrs_vctr, double",And What Percent Were: Paid On Delivery?,209212,60981
k2c,"haven_labelled, vctrs_vctr, double","In Last Fy, % Of Total Annual Sales Paid For After Delivery",105514,164679
k3a,"haven_labelled, vctrs_vctr, double",% Of Working Capital Financed From Internal Funds/Retained Earnings,11376,258817
k3b,numeric,Proportion Of Working Capital Financed From Private Commercial Banks,249842,20351
k3bc,"haven_labelled, vctrs_vctr, double",% Of Working Capital Borrowed From Banks,11408,258785
k3c,numeric,% Of Working Capital Financed: State-Owned Banks And/Or Government Agency,249842,20351
k3d,numeric,Proportion Of Working Capital Financed From Family/Friends,253223,16970
k3e,"haven_labelled, vctrs_vctr, double",% Of Working Capital Borrowed From Non-Bank Financial Institutions,11407,258786
k3f,"haven_labelled, vctrs_vctr, double",% Of Working Capital Purchased On Credit/Advances From Suppliers /Customers,11908,258285
k3g,numeric,Proportion Of Working Capital Financed From Informal Sources,252624,17569
k3h,numeric,Proportion Of Working Capital Financed From Other Sources,253111,17082
k3hd,"haven_labelled, vctrs_vctr, double","% Of Working Capital Financed By Other (Money Lenders, Friends, Relatives, Etc)",29131,241062
k3hdx,character,Other (Specify),0,270193
k3i,"haven_labelled, vctrs_vctr, double",Capital/Remittances From People Who Are Migrants Abroad Or Who Are Returned Migr,251730,18463
k3j,"haven_labelled, vctrs_vctr, double",% of Working Capital Financed From Bonds,252191,18002
k3dgh,"haven_labelled, vctrs_vctr, double","% of Working Capital Financed By Friends, Relatives, Informal Money Lenders, Oth",252191,18002
k4,"haven_labelled, vctrs_vctr, double",Did This Establishment Purchase Any Fixed Assets In Last Fiscal Yr?,38,270155
k4b,"haven_labelled, vctrs_vctr, double",Purchase Any New/Used Fixed Assets?,216740,53453
k5a,"haven_labelled, vctrs_vctr, double","Last Fy, % Fixed Assets Funded By: Internal Funds/Retained Earnings",156809,113384
k5b,"haven_labelled, vctrs_vctr, double",Fixed Assets : Borrowed From Private Banks,253179,17014
k5bc,"haven_labelled, vctrs_vctr, double","Last Fy, % Fixed Assets Funded By: Bank Borrowing",157541,112652
k5c,"haven_labelled, vctrs_vctr, double",Fixed Assets: Borrowed From State-Owned Banks,253180,17013
k5d,numeric,Proportion Of Purchases Of Fixed Assets Financed From Family/Friends,261111,9082
k5e,"haven_labelled, vctrs_vctr, double","Last Fy, % Fixed Assets Funded By: Non-Bank Financial Institutions",163424,106769
k5f,"haven_labelled, vctrs_vctr, double","Last Fy, % Fixed Assets Funded By: Credit From Suppliers/Advances From Customers",157050,113143
k5g,numeric,Proportion Of Purchases Of Fixed Assets Financed From Informal Sources,260548,9645
k5h,numeric,Proportion Of Purchases Of Fixed Assets Financed From Other Sources,261110,9083
k5hd,"haven_labelled, vctrs_vctr, double",Other,262278,7915
k5hd_jx,character,Other (Specify),0,270193
k5hdej,"haven_labelled, vctrs_vctr, double","Fixed Assets:Other (Moneylenders, Friends, Relatives,",263635,6558
k5hdj,"haven_labelled, vctrs_vctr, double","Last Fy, % Fixed Assets Funded By: Other (Money Lenders\Friends\Relatives\Etc)",173396,96797
k5i,"haven_labelled, vctrs_vctr, double","Last Fy, % Fixed Assets Funded By: Ownersâ€™ Contributions Or Issued New Equity",156948,113245
k5j,"haven_labelled, vctrs_vctr, double",New Debt,248209,21984
k5k,"haven_labelled, vctrs_vctr, double",Capital/Remittances From People Who Are Migrants Abroad Or Who Are Returned Migr,269996,197
k5dgh,"haven_labelled, vctrs_vctr, double","Last FY, % Fixed Assets Funded By: Friends\Relatives\Informal Money Lenders\Othe",263108,7085
k6,"haven_labelled, vctrs_vctr, double",Does This Establishment Have A Checking And\Or Saving Account?,2585,267608
k7,"haven_labelled, vctrs_vctr, double","At This Time, Does This Establishment Have An Overdraft Facility?",23142,247051
k8,"haven_labelled, vctrs_vctr, double",Establishment Has A Line Of Credit Or Loan From A Financial Institution?,1754,268439
k8_br,"haven_labelled, vctrs_vctr, double",Follow-up: Establishment Has A Line of Credit or Loan From A Financial Instituti,268393,1800
k82,"haven_labelled, vctrs_vctr, double",Establishment Has A Line of Credit or Loan From A Financial Institution?,212575,57618
k82_br,"haven_labelled, vctrs_vctr, double",Establishment Has A Line of Credit or Loan From A Financial Institution?,267397,2796
k82b,"haven_labelled, vctrs_vctr, double",Establishment Has A Line of Creidt from a Financial Institution?,252191,18002
k82a,"haven_labelled, vctrs_vctr, double",Establishment Has A Loan From A Financial Institution?,252191,18002
k9,"haven_labelled, vctrs_vctr, double",Type Of Financial Institution That Granted The Line Of Credit Or Loan,172591,97602
k10,"haven_labelled, vctrs_vctr, double",Year When The Most Recent Loan/Line Of Credit Approved,179357,90836
k11,"haven_labelled, vctrs_vctr, double","For The Most Recent Loan, What Was The Value At The Time Of Approval?",172672,97521
k12,"haven_labelled, vctrs_vctr, double",Duration,259352,10841
k13,"haven_labelled, vctrs_vctr, double",Financing Required For The Most Recent Line Of Credit Or Loan,172446,97747
k14a,"haven_labelled, vctrs_vctr, double","Type Of Collateral Required For The Most Recent Loan? Land, Buildings",204180,66013
k14b,"haven_labelled, vctrs_vctr, double",Type Of Collateral Required For The Most Recent Loan? Equipment,204187,66006
k14c,"haven_labelled, vctrs_vctr, double",Type Of Collateral Required For The Most Recent Loan? Accounts,204199,65994
k14d,"haven_labelled, vctrs_vctr, double",Type Of Collateral Required For The Most Recent Loan? Personal Assets,204200,65993
k14e,"haven_labelled, vctrs_vctr, double",Type Of Collateral Required For The Most Recent Loan? Other,204203,65990
k15,"haven_labelled, vctrs_vctr, double",Approx. Collateral Needed As % Of The Loan Value \ Value Of The Line Of Credit,219116,51077
k15a,"haven_labelled, vctrs_vctr, double",Value Of Collateral Required For The Most Recent Credit/Loan,209263,60930
k15b,"haven_labelled, vctrs_vctr, double",Total Number of Open Lines of Credit and Outstanding Loans Held By This Establis,207997,62196
k15c,"haven_labelled, vctrs_vctr, double",Total Outstanding Balance of All Open Lines of Credit and Loans Held By This Est,222540,47653
k15d,"haven_labelled, vctrs_vctr, double",Outstanding Personal Loans Used To Finance Establishment'S Business Activities?,64013,206180
k16,"haven_labelled, vctrs_vctr, double","In Last Fiscal Yr, Did Establishment Apply For New Loans/Lines Of Credit?",2050,268143
k16_br,"haven_labelled, vctrs_vctr, double","Follow-up: In Last FY, Did Establishment Apply For New Loans/Lines of Credit?",268393,1800
k162,"haven_labelled, vctrs_vctr, double","In Last FY, Did Establishment Apply For New Loans/Lines of Credit?",212424,57769
k162_br,"haven_labelled, vctrs_vctr, double","In Last FY, Did Establishment Apply For New Loans/Lines of Credit?",267397,2796
k162a,"haven_labelled, vctrs_vctr, double","In Last FY, Did Establishment Apply For Loans from Financial Institution?",252191,18002
k162b,"haven_labelled, vctrs_vctr, double","In Last FY, Did Establishment Apply For Line of Credit from Financial Institutio",252191,18002
k17,"haven_labelled, vctrs_vctr, double",Main Reason For Not Applying For New Loans Or New Lines Of Credit,72710,197483
k18,"haven_labelled, vctrs_vctr, double",# Of Applications,261121,9072
k18a,"haven_labelled, vctrs_vctr, double",Apply For Any New Loans/Lines Of Credit That Were Rejected In Last Fiscal Year?,263920,6273
k19,"haven_labelled, vctrs_vctr, double",# Rejects,260326,9867
k20,"haven_labelled, vctrs_vctr, double",What Was The Reason Given For The Last Rejection?,269293,900
k20a,numeric,What Was The Outcome Of That Most Recent Application For Loan/Line Of Credit?,230056,40137
k20a1,"haven_labelled, vctrs_vctr, double",What Was The Outcome Of That Most Recent Application For Loan/Line Of Credit?,233535,36658
k20a1_br,"haven_labelled, vctrs_vctr, double",Follow-up: What Was The Outcome of That Most Recent Application For Loan/Line of,270107,86
k21,"haven_labelled, vctrs_vctr, double",Financial Statements Checked & Certified By External Auditor In Last Fiscal Yr?,1432,268761
k33,"haven_labelled, vctrs_vctr, double",Percentage of payments received using e-payments,197377,72816
k33_br,"haven_labelled, vctrs_vctr, double",Percentage of payments received using e-payments,265954,4239
k34,"haven_labelled, vctrs_vctr, double",Main type of e-payment accepted,251786,18407
k34_br,"haven_labelled, vctrs_vctr, double",Main type of e-payment accepted,267697,2496
k342,"haven_labelled, vctrs_vctr, double",Main type of e-payment accepted,225939,44254
k342x,character,Other (Specify),0,270193
k35,"haven_labelled, vctrs_vctr, double",Avg. days to receive main type of e-payment,207908,62285
k35_br,"haven_labelled, vctrs_vctr, double",Avg. days to receive main type of e-payment,267797,2396
k36,"haven_labelled, vctrs_vctr, double",Cost per transaction (% of transaction) to receive main type of e-payment,207907,62286
k36_br,"haven_labelled, vctrs_vctr, double",Cost per transaction (% of transaction) to receive main type of e-payment,267797,2396
k37,"haven_labelled, vctrs_vctr, double",Monthly fees and subscription costs to receive main type of e-payment,224546,45647
k37_br,"haven_labelled, vctrs_vctr, double",Monthly fees and subscription costs to receive main type of e-payment,267797,2396
k38,"haven_labelled, vctrs_vctr, double",Percentage of payments made using e-payments,197377,72816
k38_br,"haven_labelled, vctrs_vctr, double",Percentage of payments made using e-payments,265955,4238
k39,"haven_labelled, vctrs_vctr, double",Main type of e-payment used to make payments,253117,17076
k39_br,"haven_labelled, vctrs_vctr, double",Main type of e-payment used to make payments,268293,1900
k392,"haven_labelled, vctrs_vctr, double",Main type of e-payment used to make payments,227209,42984
k392x,character,Other (Specify),0,270193
k40,"haven_labelled, vctrs_vctr, double",Cost per transaction (% of transaction) to make main type of e-payment,209992,60201
k40_br,"haven_labelled, vctrs_vctr, double",Cost per transaction (% of transaction) to make main type of e-payment,268324,1869
k30,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Access To Finance,2009,268184
j31,"haven_labelled, vctrs_vctr, double","In resolving commercial disputes, courts are independent and impartial",197377,72816
j31_br,"haven_labelled, vctrs_vctr, double","In resolving commercial disputes, courts are independent and impartial",265954,4239
r1,"haven_labelled, vctrs_vctr, double",What Best Describes What Happened When Problem In The Production/Provision of Se,184779,85414
r2,"haven_labelled, vctrs_vctr, double",Did This Establishment Monitor Any Production Performance Indicators?,186608,83585
r3,"haven_labelled, vctrs_vctr, double",How Many Production/Service Provision Performance Indicators Were Monitored At T,220307,49886
r4,"haven_labelled, vctrs_vctr, double",Did This Establishment Have Production Provision Targets?,192281,77912
r5,"haven_labelled, vctrs_vctr, double",What Best Describes The Time Frame Of Production/Service Provision Targets?,215164,55029
r6,"haven_labelled, vctrs_vctr, double",How Easy To Achieve Its Production Targets?,208595,61598
r7,"haven_labelled, vctrs_vctr, double",Who Was Aware Of The Production Targets At This Establishment?,208595,61598
r8,"haven_labelled, vctrs_vctr, double",Was There Performance Bonuses Based On Production Targets?,186158,84035
r9,"haven_labelled, vctrs_vctr, double",What Were Managers' Performance Bonuses Mostly Based On?,230784,39409
r10,"haven_labelled, vctrs_vctr, double",What Was The Primary Way Non-Managers Were Promoted?,184778,85415
r11,"haven_labelled, vctrs_vctr, double",When was an under-performing non-manager reassigned or dismissed?,184778,85415
k31,"haven_labelled, vctrs_vctr, double",Total cost to apply for most recent loan,261284,8909
k31_br,"haven_labelled, vctrs_vctr, double",Total cost to apply for most recent loan,269530,663
k32,"haven_labelled, vctrs_vctr, double",Days to receive a decision about most recent loan application,258944,11249
k32_br,"haven_labelled, vctrs_vctr, double",Days to receive a decision about most recent loan application,269547,646
l1,"haven_labelled, vctrs_vctr, double","Num. Permanent, Full-Time Employees At End Of Last Fiscal Year",23,270170
l1_br,"haven_labelled, vctrs_vctr, double","Follow-up: Num. Permanent, Full-Time Employees At End of Last Fiscal Year",268715,1478
l1a,"haven_labelled, vctrs_vctr, double","Num. Permanent, Part-Time Employees At End of Last Fiscal Year",192020,78173
l1a_br,"haven_labelled, vctrs_vctr, double","Num. Permanent, Full-Time Man Employees At End of Last Fiscal Year",268227,1966
l2,"haven_labelled, vctrs_vctr, double","Num. Permanent, Full-Time Employees At End Of 3 Fiscal Years Ago",1083,269110
l3a,"haven_labelled, vctrs_vctr, double",Num. Full-Time Employees At End Of Last Fiscal Yr: Production Workers,137450,132743
l3b,"haven_labelled, vctrs_vctr, double",Num. Full-Time Employees At End Of Last Fiscal Yr: Non-Production Workers,138403,131790
l4a,"haven_labelled, vctrs_vctr, double",No. Ft Employees Who Were Skilled Prod. Workers At End Of Last Fiscal Yr,86770,183423
l4a1,"haven_labelled, vctrs_vctr, double","Num. Of Permanent, Full-Time Highly Skilled Production Workers, Last Fy",151288,118905
l4a2,"haven_labelled, vctrs_vctr, double","Num. Of Permanent, Full-Time Semi Skilled Production Workers, Last Fy",151288,118905
l4b,"haven_labelled, vctrs_vctr, double","Num. Of Permanent, Full-Time Unskilled Production Workers, Last Fy",86901,183292
l5,"haven_labelled, vctrs_vctr, double",Num. Full-Time Employees At End Of Last Fiscal Yr: Female,141419,128774
l5a,"haven_labelled, vctrs_vctr, double",Num. Full-Time Employees At End Of Last Fiscal Yr: Female Production Workers,139860,130333
l5b,"haven_labelled, vctrs_vctr, double",Num. Full-Time Employees At End Of Last Fiscal Yr: Female Non-Production Workers,141134,129059
l6,"haven_labelled, vctrs_vctr, double",Num. Full-Time Temporary Employees At End Of Last Fiscal Yr,32,270161
l6a,"haven_labelled, vctrs_vctr, double","Female Temporary, Full-Time Workers Employed Throughout Last Fiscal Yr",215929,54264
l7,numeric,Percentage Of Full-Time Seasonal/Temporary Females,263821,6372
l8,"haven_labelled, vctrs_vctr, double",Avg. Length Of Employment Of All Full-Time Temporary Employees In Last Fiscal Yr,186554,83639
l37,"haven_labelled, vctrs_vctr, double","In the last 3 yrs., establishment has been involved in any labor dispute",197377,72816
l37_br,"haven_labelled, vctrs_vctr, double","In the last 3 yrs., establishment has been involved in any labor dispute",265954,4239
l38,"haven_labelled, vctrs_vctr, double",Typical number of weeks to resolve labor dispute,265793,4400
l38_br,"haven_labelled, vctrs_vctr, double",Typical number of months to resolve labor dispute,269735,458
l38a,"haven_labelled, vctrs_vctr, double",Time to Resolve a labor Dispute:Months,266638,3555
l38b,"haven_labelled, vctrs_vctr, double",Time to Resolve a labor Dispute:Days,269269,924
l39,"haven_labelled, vctrs_vctr, double",Cost to resolve labor dispute,266947,3246
l39_br,"haven_labelled, vctrs_vctr, double",Cost to resolve labor dispute,268723,1470
l40,"haven_labelled, vctrs_vctr, double","In last FY, was establishment visited by health and safety inspectors",197377,72816
l40_br,"haven_labelled, vctrs_vctr, double","In last FY, was establishment visited by health and safety inspectors",265954,4239
l41,"haven_labelled, vctrs_vctr, double",Was a report issued for health and safety inspection,245986,24207
l41_br,"haven_labelled, vctrs_vctr, double",Was a report issued for health and safety inspection,269032,1161
l9,"haven_labelled, vctrs_vctr, double",Avg. Education Production,253633,16560
l9a,"haven_labelled, vctrs_vctr, double",% Of This EstablisÓ“ Labor Force At The End Of The Last Fy Had A Univ. Degree,227665,42528
l9a2,"haven_labelled, vctrs_vctr, double",Average Number Of Years Of Education Of Typical Female,237231,32962
l9b,"haven_labelled, vctrs_vctr, double",% Of Full Time Workers Completed High School,139215,130978
l9b1,"haven_labelled, vctrs_vctr, double",Number of Full Time Workers Completed High School,235688,34505
l10,"haven_labelled, vctrs_vctr, double","Formal Training Programs For Permanent, Full-Time Employees In Last Fiscal Yr",22009,248184
